dia,Zacatecas,Yucatán,Veracruz,Tlaxcala,Tamaulipas,Tabasco,Sonora,Sinaloa,San Luis Potosí,Quintana Roo,Querétaro,Puebla,Oaxaca,Nuevo León,Nayarit,Morelos,Michoacán,México,Jalisco,Hidalgo,Guerrero,Guanajuato,Durango,Ciudad de México,Colima,Coahuila,Chihuahua,Chiapas,Campeche,Baja California Sur,Baja California,Aguascalientes
78,577097,85966,21725,14585,90323,171297,180975,305053,357976,0,44751,35905,168498,192791,233924,9874,169363,32425,545972,233519,110004,43151,115208,0,850,0,976895,214019,43093,0,0,12657
79,572717,77513,19568,13202,81389,154385,163123,416498,445284,0,40343,32348,151852,174575,289028,8899,152622,29214,492501,258260,99130,38878,103821,0,1273,0,892140,192860,38827,0,0,17741
80,550227,69880,17625,11937,73334,139132,147017,547366,522773,0,36364,29142,136840,157896,336816,8019,137528,26320,444161,269877,89326,35026,93553,0,1904,0,811655,173782,34982,0,0,24148
81,517251,62990,15875,10785,66074,125376,132490,685343,577544,0,32774,26253,123305,142687,369395,7226,123919,23712,400487,269206,80487,31555,84296,0,2843,0,736538,156583,31517,0,0,31607
82,479478,56773,14298,9738,59530,112973,119390,810535,602962,0,29536,23650,111102,128861,383227,6511,111651,21361,361051,259556,72519,28427,75951,0,4234,0,667183,141080,28394,0,0,39379
83,440489,51166,12879,8789,53632,101792,107579,902045,601036,0,26616,21305,100103,116318,380169,5866,100594,19244,325455,244570,65337,25609,68429,0,6283,0,603592,127107,25580,0,0,46312
84,402326,46108,11600,7930,48317,91714,96932,947826,579204,0,23983,19192,90188,104956,365142,5285,90629,17335,293337,227047,58864,23069,61650,0,9276,0,545558,114514,23044,0,0,51253
85,366063,41548,10448,7152,43528,82630,87334,949511,545583,0,21610,17288,81253,94676,343198,4761,81648,15616,264364,208785,53031,20781,55541,0,13588,0,492765,103165,20759,0,0,53589
86,332205,37437,9410,6450,39212,74443,78684,918211,506390,0,19470,15573,73201,85382,318099,4289,73555,14067,238235,190815,47775,18720,50036,0,19681,0,444849,92939,18701,0,0,53479
87,300937,33731,8476,5815,35324,67066,70888,866893,465596,0,17542,14028,65945,76986,292212,3864,66263,12672,214674,173688,43038,16863,45076,0,28045,0,401430,83725,16846,0,0,51577
88,272262,30390,7634,5242,31821,60418,63863,805798,425487,0,15804,12636,59407,69404,266883,3481,59693,11414,193432,157669,38770,15189,40606,0,39052,0,362135,75422,15175,0,0,48608
89,246090,27380,6876,4725,28664,54428,57532,741582,387275,0,14238,11382,53516,62561,242820,3136,53773,10282,174284,142857,34925,13682,36579,0,52682,0,326604,67942,13669,0,0,45131
90,222280,24667,6193,4259,25820,49030,51828,678112,351542,0,12826,10252,48209,56387,220356,2825,48439,9261,157025,129263,31461,12324,32951,0,68165,0,294500,61202,12313,0,0,41504
91,200668,22222,5578,3838,23259,44167,46688,617464,318508,0,11555,9235,43427,50817,199612,2545,43634,8342,141469,116850,28340,11101,29682,0,83751,0,265508,55131,11091,0,0,37933
92,181084,20019,5024,3458,20951,39786,42057,560648,288195,0,10409,8318,39119,45794,180590,2292,39305,7514,127451,105553,25528,9999,26737,0,97001,0,239337,49661,9990,0,0,34530
93,163360,18034,4525,3116,18872,35839,37886,508064,260515,0,9376,7492,35237,41265,163229,2065,35405,6768,114819,95296,22995,9007,24084,0,105751,0,215722,44733,8999,0,0,31346
94,147333,16245,4076,2808,16999,32283,34127,459775,235326,0,8446,6748,31741,37182,147435,1860,31891,6096,103436,85999,20713,8113,21694,0,109156,0,194418,40294,8105,0,0,28401
95,132851,14634,3671,2530,15312,29080,30741,415659,212457,0,7608,6078,28591,33501,133100,1675,28726,5491,93179,77585,18658,7307,19541,0,107872,0,175204,36295,7301,0,0,25699
96,119773,13182,3306,2279,13792,26194,27690,375497,191730,0,6853,5475,25754,30183,120110,1509,25875,4946,83939,69975,16806,6582,17602,0,103336,0,157879,32693,6576,0,0,23231
97,107967,11874,2978,2053,12423,23594,24942,339026,172969,0,6173,4931,23197,27193,108353,1359,23307,4455,75613,63098,15138,5928,15855,0,96959,0,142258,29448,5923,0,0,20985
98,97315,10696,2682,1850,11189,21253,22467,305965,156003,0,5561,4442,20895,24499,97722,1224,20993,4013,68112,56888,13635,5340,14281,0,89770,0,128177,26525,5335,0,0,18946
99,87704,9634,2416,1666,10079,19143,20237,276036,140672,0,5009,4001,18821,22070,88117,1103,18909,3614,61354,51282,12282,4810,12863,0,82406,0,115485,23891,4805,0,0,17098
100,79037,8678,2176,1501,9078,17243,18228,248968,126826,0,4512,3603,16952,19882,79442,993,17032,3255,55267,46222,11062,4332,11586,0,75228,0,104045,21520,4328,0,0,15425
